Client send time,ServerRecevie time,client receive time,total time,time to server,return time
From:,,,To:,Init,
From:,,,To:,Wellcome,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
From:,,,To:,LobbyList,
